#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 1-강수, 음수인 경우 null값)  
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202608131200   303  273.5    2.3  285.7    4.2  270.2    1.9   27.1  -99.9    0.0    0.0    0.0    0.0   70.3  992.1 1004.0   21.2
202608131200   304  177.0    4.7  175.0    5.3  177.9    4.6   29.8  -99.9    0.0    0.0    0.0    0.0   55.2 1001.3 1004.1   19.9
202608131200   305   46.7    3.5   50.0    4.3   49.6    3.8   28.0  -99.9    0.0    0.0    0.0    0.0   65.8 1001.1 1005.0   21.0
202608131200   306  161.0    2.7  152.3    3.8  136.9    2.4   29.6  -99.9    0.0    0.0    0.0    0.0   56.3 1002.0 1002.3   20.0
202608131200   308    0.0    0.0    0.0    0.0  145.1    1.1   29.2  -99.9    0.0    0.0    0.0    0.0   65.0 1001.8 1002.7   22.0
202608131200   309   56.2    2.2   17.3    3.0   52.6    2.8   29.3  -99.9    0.0    0.0    0.0    0.0   58.5 1002.4 1005.2   20.3
202608131200   310  245.2    3.9  224.2    5.3  229.9    4.2   26.3  -99.9    0.0    0.0    2.5    2.5   85.6 1001.1 1002.7   23.7
202608131200   311   48.0    1.0   95.0    2.4   92.5    0.7   25.4  -99.9    0.0    0.0    0.0    0.0   65.2  937.9 1004.1   18.4
202608131200   312    6.7    0.2    3.0    0.6   42.8    0.5   25.5  -99.9    0.0    0.0    1.0    1.0   74.1  974.1 1003.4   20.6
202608131200   313  106.0    1.3  156.0    2.3   88.3    1.5   29.7  -99.9    0.0    0.0    0.0    0.0   59.1  995.3 1003.1   20.9
202608131200   314   75.5    2.3  106.2    3.9   70.3    2.5   18.0  -99.9    0.0    0.0    0.0    0.0   89.9  842.5 1002.5   16.3
202608131200   315  287.0    1.7  308.0    2.3  304.0    1.6   20.8  -99.9    0.0    0.0    0.0    0.0   76.4  886.4 1003.5   16.5
202608131200   316  308.0    1.0  325.0    1.9  314.2    1.5   21.5  -99.9    0.0    0.0    0.0    0.0   81.3  905.1 1004.1   18.2
202608131200   317  348.4    1.1  223.3    1.8   16.5    1.0   29.6  -99.9    0.0    0.0    0.0    0.0   49.9  990.5 1002.3   18.1
202608131200   318   10.6    4.3   18.0    5.0   12.8    3.4   19.3  -99.9    0.0    0.5   10.0   10.0   93.2  911.5 1005.3   18.2
202608131200   319   41.5    1.6   36.5    2.8   57.7    2.2   27.0  -99.9    0.0    0.0    2.0    2.0   89.4  994.5 1001.0   25.1
202608131200   320  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9  -99.9
202608131200   321   43.3    1.4   51.3    3.2   22.8    1.0   23.0  -99.9    0.5    0.5    2.0    2.0   86.4  976.9 1005.6   20.6
202608131200   322  293.3    3.1  311.1    4.3  295.4    3.1   27.4  -99.9    0.0    0.0    0.0    0.0   67.8  980.7 1005.6   20.9
202608131200   323   75.8    3.0   62.3    3.5   78.5    3.1   25.7  -99.9    0.0    0.0    0.0    0.0   68.4  975.3 1006.2   19.5
202608131200   324  298.7    1.2  312.9    2.2  293.3    1.2   26.9  -99.9    0.0    0.0    0.0    0.0   66.2  986.5 1004.0   20.1
202608131200   325  352.0    1.3    3.0    1.5  354.4    1.0   24.7  -99.9    0.0    0.0    0.0    0.0   81.1  978.7 1004.7   21.2
202608131200   326  256.0    2.0  256.1    2.7  126.8    2.0   28.3  -99.9    0.0    0.0    0.0    0.0   60.3  982.1 1003.3   19.9
202608131200   327  301.3    1.4  278.4    2.5  333.1    1.8   28.5  -99.9    0.0    0.0    0.0    0.0   59.0  992.0 1002.8   19.7
202608131200   328  129.0    6.0  111.0    8.9  124.3    4.4   27.8  -99.9    0.0    0.0    0.0    0.0   72.8  996.1 1002.9   22.5
202608131200   329   69.5    2.1   74.6    2.9   86.0    2.6   26.3  -99.9    0.0    0.0    0.0    0.0   70.2  961.9 1003.6   20.4
202608131200   330   67.4    2.9   80.4    3.6   81.4    2.9   28.1  -99.9    0.0    0.0    0.0    0.0   69.5  987.6 1003.7   22.0
202608131200   331  257.7    1.7  241.4    2.4  276.7    2.4   25.3  -99.9    0.0    0.0    0.0    0.0   88.4  953.9 1001.4   23.2
202608131200   332  304.8    2.8  313.2    5.8   28.1    2.7   26.5  -99.9    0.0    0.0    8.0    8.0   77.8  998.0 1003.5   22.3
202608131200   333  307.8    3.8  317.3    5.0  306.5    4.0   25.6  -99.9    0.0    0.0    2.0    2.0   84.4 1001.6 1003.4   22.8
202608131200   334  331.0    1.8  312.6    3.0  331.6    2.8   23.1  -99.9    0.0    0.0    4.5    4.5   95.0 1002.1 1004.9   22.3
202608131200   335  117.7    1.7  122.7    2.3  112.9    1.6   24.2  -99.9    0.0    0.0    0.0    0.0   79.4  960.5 1005.7   20.4
202608131200   336  234.1    1.4  217.8    2.2  237.7    1.2   27.2  -99.9    0.0    0.0    0.0    0.0   73.0  981.9 1005.4   21.9
202608131200   337  223.4    0.4  218.7    1.2  307.4    0.6   26.7  -99.9    0.0    0.0    0.0    0.0   69.7  982.7 1005.3   20.7
202608131200   338    0.0    0.0   30.0    0.4   84.9    0.2   24.9  -99.9    0.0    0.0    0.0    0.0   84.2  951.9 1005.7   22.1
202608131200   339  252.9    0.7  240.1    1.5  239.1    0.5   26.5  -99.9    0.0    0.0    0.0    0.0   75.4  977.1 1005.2   21.8
202608131200   340   48.0    1.6   44.9    2.0   69.6    1.6   26.1  -99.9    0.0    0.0    0.0    0.0   83.5  990.3 1005.8   23.1
