#START7777
#--------------------------------------------------------------------------------------------------
# STN_ID : 지점번호
#    LON : 경도(degree) / LAT : 위도(degree)
# STN_SP : 지점 특성코드
#          - 첫째자리 : 0(목측), 5(목측+레이저(L)), 6(레이저적설계(L))
#          - 둘째자리 : 0(기상관서), 1(외부)
#     HT : 노장 해발고도 (m)
# STN_CD : 지점코드
# STN_KO : 지점명(한글)
# STN_AD : 관리관서번호
# FCT_ID : 예보구역코드
# LAW_ID : 법정동코드
#--------------------------------------------------------------------------------------------------
# STN           LON           LAT STN_SP          HT STN STN_KO               FCT_ID   LAW_ID    
#  ID         degee        degree --------         m  AD -------------------- -------- ----------
  318  128.68208000   37.65328000 618         852.00 105 평창용산             11D20200 5176038026
  319  130.87154000   37.53751000 618          57.80 115 천부                 11E00100 4794032024
  320  128.31375000   38.33104000 618        1263.88 105 향로봉               11D20100 5182034028
  321  128.19630000   38.11470000 618         253.72 105 원통                 11D20100 5181032021
  322  127.66263000   38.20067000 618         223.00 101 상서                 11D10100 5179033028
  323  127.52551000   38.27268000 618         276.00 101 마현                 11D10100 5178032026
  324  128.07446000   36.91019000 618         155.91 131 송계                 11C10201 4315035028
  325  128.02526000   37.14449000 618         231.26 131 백운                 11C10201 4315036021
  326  127.61120000   37.54550000 618         190.20 109 용문산               11B20500 4183040029
  327  127.51278000   36.62611000 618          97.00 131 청주금천             11C10301 4311112200
  328  126.39838000   33.25050000 618          61.00 184 상예                 11G00400 5013012000
  329  126.56546000   33.44734000 618         377.00 184 산천단               11G00900 5011011700
  330  126.64947000   33.50081000 618         144.41 184 대흘                 11G00200 5011025926
  331  126.42053000   33.29554000 618         431.00 184 제주색달             11G01000 5013011900
  332  129.12207000   37.44343000 618          49.13 105 등봉                 11D20602 5123011300
  333  129.08287000   37.58098000 618          16.00 105 동해심곡             11D20601 5117013000
  334  128.59194000   38.20702000 618          24.38 105 중앙                 11D20401 5121010300
  335  128.12553000   37.36023000 618         406.11 105 강림                 11D10402 5173038021
  336  128.11021000   37.56094000 618         210.87 105 매일                 11D10402 5173034026
  337  128.06320000   37.45970000 618         202.45 105 우항                 11D10402 5173031031
  338  128.21068000   37.50568000 618         486.29 105 둔내                 11D10402 5173033025
  339  127.88190000   37.48915000 618         251.49 105 서원                 11D10402 5173037022
